Name,Number of conductors,Shape,Type,Material,Isolation material,Conductor/isolation screen,Sheath material,Sheath/cable type,Bedding material,Arm material,Arm configuration,Arm type,Lay of wire tapes,Cable serving material,Oil duct,Pipe material,U_0,A_cond,d_cond,d_int_cond,d_cond_ma,d_cond_mi,My_Rdc,My_ks,My_kp,t1,delta_1,A_she,D_she_ext,D_oc,D_ot,d_she_ma,d_she_mi,t_she,t_2,D_arm_int,D_arm_ext,d_arm_ma,d_arm_mi,d_wire,A_tape,n_wireOrTape,D_pipe_int,D_pipe_ext,D_ext,Doga,Wiretype
PILC 8/10 kV 3x 95 Al,3,ccSector,ctStranded,cmAl,imPaperMassImpregnated,scrMetalizedPaper,samLead,scBelted,imPaperMassImpregnated,samSteel,acCommon,atTape,alContactLay,pcPVC,odNone,pmNone,8000,95,0,0,0,0,0,0,0,3.9,0,238.76104167,40,0,0,0,0,2,3,46,49.2,0,0,0,159.5091309983,0,0,0,55,32.9,0
XLPE 76/132kV 1x630 mm2 Cu,1,ccRound,ctStranded,cmCu,imXLPEUnfilled,scrSemiconductingXLPE,samAluminium,scSeparate,imNone,samNone,acNone,atNone,alNone,pcPE,odNone,pmNone,76210.23553,630,30.3,0,0,0,0,0,0,15.5,0,170.15,68.5,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,75.5,0,0
