circuit_name;cable_id;x;y;circuit_type;dist;pipe
ELT2.24;YMeKrvaslqwd 12/20kV 1x630 Alrm + as50;0;-0.792;Trefoil;0;0
ELT2.26;YMeKrvaslqwd 12/20kV 1x630 Alrm + as50;0.23;-0.792;Trefoil;0;0
