circuit_name;cable_id;x;y;circuit_type;dist;pipe
ELT2.24;YMeKrvaslqwd 12/20kV 1x630 Alrm + as50;0;-1.151;Trefoil;0;0
ELT2.26;YMeKrvaslqwd 12/20kV 1x630 Alrm + as50;0.28;-1.151;Trefoil;0;0
